Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Georgia,Passenger Cars,,Revenue,Pickup Trucks,million USD (US$),Statista Market Insights,,5.02,4.94,4.71,4.54,4.22,1.84,2.56,2.27,3.02,4.35,4.63,4.92,4.84,4.79,4.64
Georgia,Passenger Cars,,Revenue,Small Cars,million USD (US$),Statista Market Insights,,5.02,4.83,4.94,4.86,4.72,1.97,2.69,2.4,3.27,4.65,4.9,5.24,5.18,5.16,5.13
Georgia,Passenger Cars,,Revenue,Sports Cars,million USD (US$),Statista Market Insights,,13.99,13.52,13.18,13.43,12.93,5.14,7.37,6.26,8.62,12.44,12.99,13.81,13.63,13.52,13.12
Georgia,Passenger Cars,,Revenue,SUVs,million USD (US$),Statista Market Insights,,37.77,39.7,40.62,38.69,37.22,16.31,22.44,20.07,27.58,38.47,40.56,44.1,43.44,42.6,41.51
Georgia,Passenger Cars,,Revenue by make,Alfa Romeo,percent,Statista Market Insights,,,,,,,,,,,9.23,,,,,
Georgia,Passenger Cars,,Revenue by make,Honda,percent,Statista Market Insights,,,,,,,,,,,16.72,,,,,
Georgia,Passenger Cars,,Revenue by make,Jaguar,percent,Statista Market Insights,,,,,,,,,,,12.26,,,,,
Georgia,Passenger Cars,,Revenue by make,Kia,percent,Statista Market Insights,,,,,,,,,,,14.11,,,,,
Georgia,Passenger Cars,,Revenue by make,Nissan,percent,Statista Market Insights,,,,,,,,,,,23.72,,,,,
Georgia,Passenger Cars,,Revenue by make,Skoda,percent,Statista Market Insights,,,,,,,,,,,4.57,,,,,
Georgia,Passenger Cars,,Revenue by make,Toyota,percent,Statista Market Insights,,,,,,,,,,,19.39,,,,,
Georgia,Passenger Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,63.13,72.66,74.95,77.04,79.27,79.82,93.73,93.51,93.64,94.55,94.94,95.19,95.88,,97.38
Georgia,Passenger Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,36.87,27.34,25.05,22.96,20.73,20.18,6.27,6.49,6.36,5.45,5.06,4.81,4.12,,2.62
Georgia,Passenger Cars,,Fuel or Drive-Type Share,Alternative,percent,Statista Market Insights,,,,,,,,,,4.47,4.96,5.24,5.56,5.76,,6.08
Georgia,Passenger Cars,,Fuel or Drive-Type Share,Diesel,percent,Statista Market Insights,,3.53,3.42,3.21,2.17,2.11,1.56,2.3,2.18,1.61,1.69,1.71,1.75,1.71,,1.71
Georgia,Passenger Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,0.73,1.41,1.68,0.75,5.88,10.11,5.53,6.48,5.73,4.78,5.52,5.83,7.36,,11.62
Georgia,Passenger Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,0.73,0.7,0.66,0.68,0.89,1.04,5.27,5.61,7.04,8.27,8.91,9.4,9.95,,11.37
Georgia,Passenger Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,95.01,94.47,94.46,96.4,91.12,87.3,86.9,85.73,81.16,80.3,78.62,77.47,75.22,,69.23
Georgia,Passenger Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,39.58,36.39,28.83,22.68,22.61,19.07,8.84,8.95,6.99,6.88,6.6,6.65,6.31,,5.54
Georgia,Passenger Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,48.28,49.19,46.5,49.87,48.93,49.9,71.93,72.05,68.12,66.52,65.01,63.37,61.82,,58.41
Georgia,Passenger Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,12.14,14.42,24.66,27.45,28.46,31.03,19.23,18.99,24.5,26.05,27.59,28.82,30.21,,32.67
Georgia,Passenger Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.38,0.55,0.8,1.16,1.66,,3.38
Georgia,Passenger Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,154.7,150.4,146.5,145.1,142.2,145.8,138.9,142.7,131.1,117.1,108,99.69,91.93,,77.61
Georgia,Passenger Cars,,Vehicle Sales,Total,vehicles,Statista Market Insights,,"3,488","3,424","3,428","3,276","3,198","1,405","1,987","1,618","2,248","3,158","3,316","3,609","3,507","3,435","3,333"
Georgia,Passenger Cars,,Vehicle Sales,Executive Cars,vehicles,Statista Market Insights,,76,75,72,71,68,29,41,33,46,65,68,74,72,71,69
Georgia,Passenger Cars,,Vehicle Sales,Full-Size Vans,vehicles,Statista Market Insights,,25,24,23,23,22,10,14,11,15,22,23,25,24,23,23
Georgia,Passenger Cars,,Vehicle Sales,Large Cars,vehicles,Statista Market Insights,,362,343,327,320,309,138,197,156,214,307,325,349,340,333,322
Georgia,Passenger Cars,,Vehicle Sales,Luxury Cars,vehicles,Statista Market Insights,,50,48,46,45,44,19,27,21,28,41,43,48,46,45,43
Georgia,Passenger Cars,,Vehicle Sales,Medium Cars,vehicles,Statista Market Insights,,768,709,616,572,548,260,362,285,416,592,621,672,648,627,606
Georgia,Passenger Cars,,Vehicle Sales,Mini Cars,vehicles,Statista Market Insights,,126,122,120,115,111,48,69,55,75,106,112,120,117,114,113
Georgia,Passenger Cars,,Vehicle Sales,Minivans,vehicles,Statista Market Insights,,407,410,411,354,371,149,231,193,266,378,391,427,408,395,374
Georgia,Passenger Cars,,Vehicle Sales,Pickup Trucks,vehicles,Statista Market Insights,,149,145,139,137,131,58,81,66,89,127,135,145,141,140,135
Georgia,Passenger Cars,,Vehicle Sales,Small Cars,vehicles,Statista Market Insights,,287,279,306,299,290,126,172,144,196,272,287,310,306,307,305
Georgia,Passenger Cars,,Vehicle Sales,Sports Cars,vehicles,Statista Market Insights,,168,161,155,154,147,63,91,71,98,140,147,158,154,153,148
Georgia,Passenger Cars,,Vehicle Sales,SUVs,vehicles,Statista Market Insights,,"1,070","1,108","1,213","1,186","1,157",505,702,583,805,"1,108","1,164","1,281","1,251","1,227","1,195"
Georgia,Passenger Cars,,Vehicle Sales by make,Alfa Romeo,percent,Statista Market Insights,,,,,,,,,,,6.93,,,,,
Georgia,Passenger Cars,,Vehicle Sales by make,Honda,percent,Statista Market Insights,,,,,,,,,,,19.6,,,,,
Georgia,Passenger Cars,,Vehicle Sales by make,Jaguar,percent,Statista Market Insights,,,,,,,,,,,5.57,,,,,
Georgia,Passenger Cars,,Vehicle Sales by make,Kia,percent,Statista Market Insights,,,,,,,,,,,16.5,,,,,
Georgia,Passenger Cars,,Vehicle Sales by make,Nissan,percent,Statista Market Insights,,,,,,,,,,,25.3,,,,,
Georgia,Passenger Cars,,Vehicle Sales by make,Skoda,percent,Statista Market Insights,,,,,,,,,,,6.78,,,,,
Georgia,Passenger Cars,,Vehicle Sales by make,Toyota,percent,Statista Market Insights,,,,,,,,,,,19.32,,,,,
Georgia,Passenger Cars,,Comparable Estimates - Passenger Cars (Worldwide),*Statista,million vehicles,,74.44,79.2,84.99,85.13,81.94,71.96,58.6,63.73,67.16,69.02,74.02,72.38,72.59,73.87,,
Georgia,Passenger Cars,,Comparable Estimates - Passenger Cars (Worldwide),IHS Markit,million vehicles,,,,92,94,94,90,77,77.2,80.35,87.94,,,,,,
Georgia,Passenger Cars,,Comparable Estimates - Passenger Cars (Worldwide),LMC Automotive,million vehicles,,,,,95.1,94.1,90.3,77.8,80.7,85.3,93.7,,,,,,
Georgia,Small Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,17.5,17.33,16.15,16.24,16.28,15.66,15.62,16.7,16.67,17.11,17.06,16.9,16.94,16.81,16.81
Georgia,Small Cars,,Revenue by make,Total,million USD (US$),Statista Market Insights,,5.02,4.83,4.94,4.86,4.72,1.97,2.69,2.4,3.27,4.65,4.9,5.24,5.18,5.16,5.13
Georgia,Small Cars,,Revenue by make,Alfa Romeo,million USD (US$),Statista Market Insights,,0.58,0.5,0.51,0.51,0.49,0.22,0.27,0.23,0.33,0.49,0.51,0.55,0.53,0.54,0.54
Georgia,Small Cars,,Revenue by make,Honda,million USD (US$),Statista Market Insights,,0.95,0.9,0.85,0.85,0.81,0.34,0.49,0.45,0.57,0.82,0.86,0.94,0.9,0.9,0.86
Georgia,Small Cars,,Revenue by make,Kia,million USD (US$),Statista Market Insights,,0.44,0.45,0.66,0.67,0.65,0.28,0.35,0.35,0.48,0.62,0.67,0.73,0.74,0.76,0.78
Georgia,Small Cars,,Revenue by make,Nissan,million USD (US$),Statista Market Insights,,0.37,0.36,0.36,0.36,0.35,0.14,0.2,0.17,0.24,0.34,0.37,0.39,0.38,0.36,0.37
Georgia,Small Cars,,Revenue by make,Skoda,million USD (US$),Statista Market Insights,,0.46,0.48,0.49,0.43,0.43,0.17,0.25,0.21,0.28,0.44,0.45,0.48,0.48,0.48,0.47
Georgia,Small Cars,,Revenue by make,Toyota,million USD (US$),Statista Market Insights,,2.22,2.15,2.07,2.05,1.99,0.83,1.14,0.99,1.36,1.95,2.04,2.16,2.14,2.12,2.11
Georgia,Small Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,44.95,46.24,76.47,75.92,76.21,76,100,100,100,100,100,100,100,,100
Georgia,Small Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,55.05,53.76,23.53,24.08,23.79,24,0,0,0,0,0,0,0,,0
Georgia,Small Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,,,,,,,,,6.59,5.73,6.44,6.12,7.59,,10.9
Georgia,Small Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,,0.33,,0.57,1.35,5.39,7.93,8.58,8.98,8.86,,9.48
Georgia,Small Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,100,100,100,100,99.67,100,99.43,98.65,87.43,86.34,85.41,84.49,83.54,,79.62
Georgia,Small Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,69,68.46,27.78,54.51,54.49,27.09,,,,,,,,,
Georgia,Small Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,22.65,23.3,57.19,30.44,30.69,57.58,100,100,66.26,67.11,65.22,63.53,62.07,,59.11
Georgia,Small Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,8.36,8.24,15.03,15.05,14.83,15.33,,,33.57,32.67,34.45,36,37.24,,39.47
Georgia,Small Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.17,0.22,0.32,0.47,0.68,,1.42
Georgia,Small Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,117.2,115.8,118,117.5,117.9,120,108.5,121.1,112.9,102.8,95.67,89.07,83.55,,73.83
Georgia,Small Cars,,Vehicle Sales by make,Total,vehicles,Statista Market Insights,,287,279,306,299,290,126,172,144,196,272,287,310,306,307,305
