Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Armenia,Passenger Cars,,Vehicle Sales by make,Mitsubishi,percent,Statista Market Insights,,,,,,,,,,,11.38,,,,,
Armenia,Passenger Cars,,Vehicle Sales by make,smart,percent,Statista Market Insights,,,,,,,,,,,2.56,,,,,
Armenia,Passenger Cars,,Comparable Estimates - Passenger Cars (Worldwide),*Statista,million vehicles,,74.44,79.2,84.99,85.13,81.94,71.96,58.6,63.73,67.16,69.02,74.02,72.38,72.59,73.87,,
Armenia,Passenger Cars,,Comparable Estimates - Passenger Cars (Worldwide),IHS Markit,million vehicles,,,,92,94,94,90,77,77.2,80.35,87.94,,,,,,
Armenia,Passenger Cars,,Comparable Estimates - Passenger Cars (Worldwide),LMC Automotive,million vehicles,,,,,95.1,94.1,90.3,77.8,80.7,85.3,93.7,,,,,,
Armenia,Mini Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,17.66,17.29,15.98,15.88,15.83,15.56,18.51,17.02,17.22,17.36,17.25,17.32,17.15,17.35,17.25
Armenia,Mini Cars,,Revenue by make,Total,million USD (US$),Statista Market Insights,,2.69,2.39,2.52,2.08,1.79,0.96,1.89,1.21,1.79,2.53,2.71,3.1,2.9,2.74,2.55
Armenia,Mini Cars,,Revenue by make,Hyundai,million USD (US$),Statista Market Insights,,0.43,0.39,0.77,0.62,0.53,0.26,0.49,0.36,0.53,0.69,0.73,0.86,0.81,0.77,0.74
Armenia,Mini Cars,,Revenue by make,Mitsubishi,million USD (US$),Statista Market Insights,,1.03,0.87,0.71,0.55,0.44,0.3,0.59,0.35,0.53,0.77,0.83,0.94,0.88,0.83,0.74
Armenia,Mini Cars,,Revenue by make,smart,million USD (US$),Statista Market Insights,,1.22,1.13,1.04,0.91,0.82,0.41,0.81,0.5,0.74,1.07,1.15,1.3,1.21,1.14,1.08
Armenia,Mini Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,0,0,21.52,19.85,66.37,80.65,100,100,100,100,100,100,100,,100
Armenia,Mini Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,100,100,78.48,80.15,33.63,19.35,0,0,0,0,0,0,0,,0
Armenia,Mini Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,23.68,23.19,39.24,37.4,83.19,80.65,80.39,81.69,50,51.79,51.67,52.94,54.69,,60
Armenia,Mini Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,,,,,,,1.79,1.67,1.47,1.56,,1.82
Armenia,Mini Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,76.32,76.81,60.76,62.6,16.81,19.35,19.61,18.31,50,46.43,46.67,45.59,43.75,,38.18
Armenia,Mini Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,47.36,46.37,56.96,54.96,53.1,35.44,15.13,20.14,,,,,,,
Armenia,Mini Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,52.64,53.63,43.04,45.04,46.9,45.35,84.87,79.86,96.92,94.15,91.49,88.9,86.38,,81.36
Armenia,Mini Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,,,,,,19.2,,,2.82,5.49,8,10.36,12.59,,16.6
Armenia,Mini Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.25,0.36,0.51,0.73,1.03,,2.04
Armenia,Mini Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,99.28,99.87,72.08,65.99,69.95,92.56,58.45,27.41,23.08,12.16,11.43,10.6,9.88,,8.71
Armenia,Mini Cars,,Vehicle Sales by make,Total,vehicles,Statista Market Insights,,152,138,158,131,113,62,102,71,104,146,157,179,169,158,148
Armenia,Mini Cars,,Vehicle Sales by make,Hyundai,vehicles,Statista Market Insights,,36,32,62,49,41,22,35,27,40,52,56,65,62,58,55
Armenia,Mini Cars,,Vehicle Sales by make,Mitsubishi,vehicles,Statista Market Insights,,36,32,28,23,19,12,20,13,19,28,30,34,32,30,27
