Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Azerbaijan,Passenger Cars,,Revenue by make,Suzuki,percent,Statista Market Insights,,,,,,,,,,,6.67,,,,,
Azerbaijan,Passenger Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,43.37,52.9,67.99,73.19,86.27,86.29,93.72,93.73,93.57,96.76,97.18,97.44,97.51,,98.08
Azerbaijan,Passenger Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,56.63,47.1,32.01,26.81,13.73,13.71,6.28,6.27,6.43,3.24,2.82,2.56,2.49,,1.92
Azerbaijan,Passenger Cars,,Fuel or Drive-Type Share,Alternative,percent,Statista Market Insights,,,,,,,,,,7.41,7.64,7.84,8.28,8.43,,8.49
Azerbaijan,Passenger Cars,,Fuel or Drive-Type Share,Diesel,percent,Statista Market Insights,,2.99,3.16,3.23,3.35,3.38,3.31,2.31,2.27,2.52,2.64,2.62,2.72,2.79,,2.71
Azerbaijan,Passenger Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,3.66,3.7,3.74,3.57,12.06,2.71,1.87,2.66,2.25,2.52,3.03,3.76,5.22,,10.73
Azerbaijan,Passenger Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,0.02,0.42,0.98,2.55,2.92,3.65,4.29,4.94,5.61,6.22,,7.33
Azerbaijan,Passenger Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,93.34,93.14,93.03,93.06,84.14,93.01,93.26,92.15,84.18,82.9,81.57,79.63,77.35,,70.73
Azerbaijan,Passenger Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,44.49,39.32,23.71,28.2,25.32,21.13,9.01,8.89,4.44,4.09,3.79,3.54,3.33,,2.98
Azerbaijan,Passenger Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,45.45,47.42,48.85,42.59,42.25,48.69,85.09,85.25,81.69,77.83,76.26,74.35,72.33,,68.16
Azerbaijan,Passenger Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,10.06,13.25,27.44,29.21,32.44,30.17,5.9,5.86,13.72,17.87,19.66,21.68,23.74,,27.68
Azerbaijan,Passenger Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.15,0.21,0.29,0.42,0.6,,1.18
Azerbaijan,Passenger Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,142.8,139.3,138.8,139.5,140.4,143.2,128.1,121,115.2,105.2,97.19,90.39,83.78,,71.61
Azerbaijan,Passenger Cars,,Vehicle Sales,Total,thousand vehicles,Statista Market Insights,,11.99,11.1,10.18,9.29,8.72,4.27,6.55,4.59,6.52,9.61,10.28,11.26,10.68,10.1,9.51
Azerbaijan,Passenger Cars,,Vehicle Sales,Executive Cars,thousand vehicles,Statista Market Insights,,0.25,0.24,0.22,0.2,0.2,0.09,0.14,0.1,0.14,0.21,0.22,0.24,0.23,0.22,0.21
Azerbaijan,Passenger Cars,,Vehicle Sales,Full-Size Vans,thousand vehicles,Statista Market Insights,,0.11,0.11,0.11,0.1,0.1,0.04,0.07,0.05,0.06,0.1,0.1,0.11,0.11,0.1,0.1
Azerbaijan,Passenger Cars,,Vehicle Sales,Large Cars,thousand vehicles,Statista Market Insights,,0.77,0.74,0.68,0.63,0.6,0.29,0.44,0.31,0.44,0.64,0.69,0.75,0.72,0.68,0.64
